country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-08-2026 11:00:00",24.792403,84.992416,PM2.5,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-08-2026 11:00:00",25.697189,85.2459,CO,19,33,27
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-08-2026 11:00:00",25.560083,87.553265,OZONE,19,38,28
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-08-2026 11:00:00",26.0881305,87.93840336,PM10,31,60,44
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-08-2026 11:00:00",26.0881305,87.93840336,NO2,7,8,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-08-2026 11:00:00",26.0881305,87.93840336,SO2,6,8,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-08-2026 11:00:00",26.0881305,87.93840336,OZONE,32,33,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","23-08-2026 11:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","23-08-2026 11:00:00",27.308328,84.531742,NO2,12,36,15
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-08-2026 11:00:00",26.11442,85.39813,PM10,43,86,68
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-08-2026 11:00:00",26.11442,85.39813,CO,15,22,18
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-08-2026 11:00:00",26.1403345,85.3650192,PM2.5,20,48,32
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-08-2026 11:00:00",26.1403345,85.3650192,PM10,29,56,37
