city,average_pollution,median_pollution,maximum_pollution,stations,pollutants_monitored,records
Leh,63.0,20.0,301.0,1,7,7
Bhagalpur,59.07,25.0,486.0,2,7,14
Panipat,56.57,48.0,235.0,1,7,7
Mandi Gobindgarh,55.43,31.0,211.0,1,7,7
Ambala,50.71,40.0,418.0,1,7,7
Bhiwadi,50.57,48.0,219.0,1,7,7
Manesar,50.0,21.0,305.0,1,7,7
Chhapra,47.14,29.0,118.0,1,7,7
Jalandhar,46.57,43.0,169.0,1,7,7
Khairthal,46.0,34.0,136.0,1,7,7
Baddi,45.57,24.0,425.0,1,7,7
Gadag,45.43,30.0,120.0,1,7,7
Vatva,45.29,36.0,184.0,1,7,7
Begusarai,44.57,21.0,186.0,1,7,7
Gurugram,44.48,22.0,500.0,3,7,21
Faridabad,44.33,24.0,397.0,3,7,21
Sirsa,43.71,36.0,99.0,1,7,7
Cuttack,43.14,28.0,167.0,1,7,7
Siwan,42.14,11.0,123.0,1,7,7
Noida,42.07,27.0,410.0,4,7,28
Alwar,41.5,44.0,137.0,2,7,14
Dewas,41.43,55.0,143.0,1,7,7
Yamuna Nagar,41.29,50.0,155.0,1,7,7
Tonk,39.86,28.0,169.0,1,7,7
Ludhiana,39.29,30.0,185.0,1,7,7
Delhi,38.94,25.0,485.0,45,7,315
Gummidipoondi,38.14,21.0,323.0,1,7,7
Muzaffarnagar,37.71,42.0,133.0,1,7,7
Palwal,37.57,24.0,124.0,1,7,7
Narnaul,36.86,18.0,123.0,1,7,7
Hisar,36.86,27.0,100.0,1,7,7
Ajmer,36.86,25.0,101.0,1,7,7
Udaipur,36.57,21.0,125.0,1,7,7
Gorakhpur,36.57,39.0,252.0,1,7,7
Jaipur,36.55,25.5,147.0,6,7,42
Chittoor,36.43,28.0,82.0,1,7,7
Pithampur,36.29,24.0,171.0,1,7,7
Sikar,36.14,16.0,161.0,1,7,7
Khora,36.14,20.0,150.0,1,7,7
Barbil,36.14,16.0,247.0,1,7,7
Bhiwani,35.86,21.0,151.0,1,7,7
Panchgaon,35.71,27.0,96.0,1,7,7
Chittorgarh,35.43,15.0,150.0,1,7,7
Baraut,35.43,16.0,209.0,1,7,7
Bahadurgarh,35.14,32.0,198.0,1,7,7
Jorapokhar,35.14,21.0,131.0,1,7,7
Siliguri,35.14,22.0,130.0,1,7,7
Mandideep,35.0,26.0,104.0,1,7,7
Ballabgarh,34.57,20.0,244.0,1,7,7
Visakhapatnam,34.43,26.0,127.0,1,7,7
Chhal,34.43,24.0,127.0,1,7,7
Greater Noida,34.07,23.5,204.0,2,7,14
Jhalawar,33.29,28.0,76.0,1,7,7
Ahmedabad,33.02,24.5,186.0,8,7,56
Khanna,32.86,21.0,68.0,1,7,7
Tirupati,32.57,27.0,84.0,1,7,7
Anantapur,32.57,21.0,353.0,1,7,7
Talcher,32.29,22.0,109.0,1,7,7
Kaithal,32.14,20.0,143.0,1,7,7
Kannur,32.14,14.0,99.0,1,7,7
Raebareli,32.14,20.0,96.0,1,7,7
Fatehabad,32.14,29.0,67.0,1,7,7
Dharuhera,32.0,21.0,116.0,1,7,7
Nalbari,31.86,19.0,128.0,1,7,7
Pali,31.86,20.0,179.0,1,7,7
Jind,31.86,13.0,108.0,1,7,7
Bhavnagar,31.71,28.0,71.0,1,7,7
Vijayawada,31.52,20.0,146.0,3,7,21
Ghaziabad,31.37,24.0,332.0,7,7,49
Charkhi Dadri,31.14,16.0,209.0,1,7,7
Patna,31.14,22.0,183.0,5,7,35
Rohtak,31.14,20.0,179.0,1,7,7
Guntur,31.0,22.0,74.0,1,7,7
Sasaram,30.57,13.0,399.0,1,7,7
Durgapur,30.43,23.0,416.0,3,7,21
Byrnihat,30.29,20.0,236.0,2,7,14
Milupara,30.14,28.0,93.0,1,7,7
Jabalpur,29.71,27.0,152.0,4,7,28
Pratapgarh,29.71,13.0,123.0,1,7,7
Samastipur,29.57,12.0,267.0,1,7,7
Asansol,29.54,34.0,86.0,4,7,28
Agra,29.45,23.5,188.0,6,7,42
Jalna,29.43,25.0,91.0,1,7,7
Sawai Madhopur,29.29,23.0,106.0,1,7,7
Dhanbad,29.29,20.0,125.0,1,7,7
Tumidih,29.29,30.0,121.0,1,7,7
Chennai,29.18,19.0,359.0,7,7,49
Vadodara,29.14,11.0,93.0,1,7,7
Kadapa,29.14,29.0,47.0,1,7,7
Satna,29.14,20.0,71.0,1,7,7
Munger,29.0,27.0,103.0,1,7,7
Eloor,28.86,29.0,68.0,1,7,7
Thoothukudi,28.71,20.0,71.0,1,7,7
Bhilwara,28.71,20.0,127.0,1,7,7
Araria,28.57,27.0,130.0,1,7,7
Kalyan,28.43,20.0,152.0,2,7,14
Nellore,28.29,26.0,63.0,1,7,7
Baripada,28.14,15.0,101.0,1,7,7
Dausa,28.14,21.0,122.0,1,7,7
Bathinda,28.14,20.0,137.0,1,7,7
Gwalior,28.0,26.0,103.0,3,7,21
Moradabad,27.98,25.0,113.0,6,7,42
Brajrajnagar,27.71,26.0,56.0,1,7,7
Ratlam,27.71,20.0,65.0,1,7,7
Banswara,27.57,28.0,105.0,1,7,7
Bulandshahr,27.43,28.0,142.0,1,7,7
Mandikhera,27.43,17.0,50.0,1,7,7
Panchkula,27.43,20.0,78.0,1,7,7
Jhunjhunu,27.29,28.0,99.0,1,7,7
Karwar,27.29,20.0,211.0,1,7,7
Sri Ganganagar,27.29,20.0,159.0,1,7,7
Kanpur,27.29,24.0,143.0,3,7,21
Bhopal,27.14,24.0,99.0,2,7,14
Bundi,27.14,22.0,103.0,1,7,7
Rajsamand,27.0,10.0,98.0,1,7,7
Hajipur,27.0,22.0,90.0,1,7,7
Rupnagar,26.86,26.0,99.0,1,7,7
Gaya,26.76,20.0,223.0,3,7,21
Katihar,26.71,28.0,88.0,1,7,7
Kishanganj,26.71,33.0,68.0,1,7,7
Khurja,26.57,12.0,134.0,1,7,7
Ankleshwar,26.57,26.0,87.0,1,7,7
Gandhinagar,26.52,10.0,163.0,3,7,21
Kota,26.29,16.0,101.0,3,7,21
Mehsana,26.29,14.0,115.0,1,7,7
Manguraha,26.29,20.0,155.0,1,7,7
Lucknow,25.95,25.0,488.0,6,7,42
Surat,25.86,20.0,111.0,2,7,14
Meerut,25.71,23.5,96.0,4,7,28
Ujjain,25.71,28.0,87.0,1,7,7
Nagaur,25.57,15.0,128.0,1,7,7
Malegaon,25.57,20.0,82.0,1,7,7
Jodhpur,25.46,15.0,151.0,5,7,35
Jaisalmer,25.43,19.0,115.0,1,7,7
Shamli,25.43,17.0,121.0,1,7,7
Gajraula,25.43,11.0,84.0,1,7,7
Kunjemura,25.29,25.0,168.0,1,7,7
Baghpat,25.14,17.0,122.0,1,7,7
Baran,25.0,23.0,78.0,1,7,7
Modinagar,25.0,16.0,92.0,1,7,7
Ambernath,24.86,26.0,141.0,1,7,7
Bikaner,24.86,14.0,174.0,1,7,7
Patiala,24.86,18.0,80.0,1,7,7
Bengaluru,24.81,20.0,183.0,9,7,63
Purnia,24.57,23.0,57.0,1,7,7
Thrissur,24.57,26.0,59.0,1,7,7
Churu,24.43,22.0,112.0,1,7,7
Ramanagara,24.43,20.0,62.0,1,7,7
Nandesari,24.43,20.0,73.0,1,7,7
Kurukshetra,24.0,8.0,82.0,1,7,7
Byasanagar,23.86,14.0,130.0,1,7,7
Muzaffarpur,23.86,18.0,89.0,2,7,14
Pune,23.76,20.0,95.0,6,7,42
Fatehpur Sikri,23.71,11.0,67.0,1,7,7
Balasore,23.57,21.0,115.0,1,7,7
Pampore,23.57,20.0,68.0,1,7,7
Prayagraj,23.52,15.0,156.0,3,7,21
Bhubaneswar,23.5,15.5,237.0,2,7,14
Agartala,23.29,20.0,96.0,1,7,7
Sonipat,23.29,21.0,83.0,1,7,7
Karnal,23.14,15.0,65.0,1,7,7
Srikakulam,23.14,18.0,79.0,1,7,7
Boisar,23.14,22.0,59.0,1,7,7
Howrah,23.11,17.0,165.0,5,7,35
Katni,22.86,25.0,78.0,1,7,7
Haldia,22.86,23.0,69.0,1,7,7
Kolkata,22.82,18.0,108.0,7,7,49
Mangalore,22.71,20.0,68.0,1,7,7
Indore,22.6,20.0,134.0,5,7,35
Chamarajanagar,22.57,26.0,46.0,1,7,7
Nagaon,22.57,11.0,73.0,1,7,7
Saharsa,22.29,17.0,105.0,1,7,7
Barrackpore,22.29,12.0,58.0,1,7,7
Jalore,22.14,12.0,90.0,1,7,7
Pimpri-Chinchwad,22.07,20.0,107.0,6,7,42
Eluru,22.0,10.0,62.0,1,7,7
Bareilly,21.79,22.0,64.0,2,7,14
Bilaspur,21.71,20.0,66.0,1,7,7
Sirohi,21.71,9.0,93.0,1,7,7
Arrah,21.57,8.0,60.0,1,7,7
Satara,21.57,14.0,114.0,1,7,7
Karauli,21.57,11.0,66.0,1,7,7
Varanasi,21.54,20.0,112.0,4,7,28
Rourkela,21.43,20.0,101.0,3,7,21
Dehradun,21.43,18.0,92.0,1,7,7
Hyderabad,21.38,17.0,168.0,13,7,91
Aurangabad,21.36,20.0,320.0,4,7,28
Belapur,21.14,22.0,65.0,1,7,7
Damoh,21.0,19.0,54.0,1,7,7
Rajkot,21.0,10.0,83.0,1,7,7
Tensa,20.86,20.0,36.0,1,7,7
Akola,20.86,13.0,67.0,1,7,7
Hanumangarh,20.71,15.0,72.0,1,7,7
Silchar,20.71,20.0,50.0,1,7,7
Hubballi,20.57,11.0,56.0,1,7,7
Angul,20.29,16.0,61.0,1,7,7
Bettiah,20.29,21.0,39.0,1,7,7
Srinagar,19.93,19.5,84.0,2,7,14
Sagar,19.71,17.0,78.0,1,7,7
Keonjhar,19.71,18.0,54.0,1,7,7
Mahad,19.57,11.0,55.0,1,7,7
Coimbatore,19.29,20.0,31.0,1,7,7
Nanded,19.29,20.0,60.0,1,7,7
Guwahati,19.11,13.0,88.0,4,7,28
Chikkaballapur,19.0,20.0,26.0,1,7,7
Thiruvananthapuram,18.93,15.0,121.0,2,7,14
Tirumala,18.86,17.0,157.0,1,7,7
Kashipur,18.86,20.0,26.0,1,7,7
Nagpur,18.79,10.5,69.0,4,7,28
Cuddalore,18.64,20.0,64.0,2,7,14
Chikkamagaluru,18.57,18.0,64.0,1,7,7
Bhiwandi,18.43,24.0,42.0,1,7,7
Rajamahendravaram,18.43,18.0,92.0,1,7,7
Mumbai,18.36,14.0,152.0,23,7,161
Barmer,18.29,16.0,81.0,1,7,7
Puducherry,18.29,18.0,69.0,1,7,7
Navi Mumbai,18.29,14.5,74.0,6,7,42
Kohima,18.14,16.0,79.0,1,7,7
Maihar,18.14,20.0,28.0,1,7,7
Dungarpur,18.0,15.0,58.0,1,7,7
Hingoli,17.71,10.0,331.0,1,7,7
Jhansi,17.71,9.0,93.0,1,7,7
Vrindavan,17.57,20.0,31.0,1,7,7
Chandrapur,17.5,20.0,57.0,2,7,14
Dholpur,17.43,19.0,54.0,1,7,7
Shillong,17.36,18.0,61.0,2,7,14
Mysuru,17.29,18.0,75.0,1,7,7
Belgaum,17.29,20.0,26.0,1,7,7
Mathura,17.0,9.0,73.0,1,7,7
Bhilai,16.86,15.5,45.0,2,7,14
Shivamogga,16.86,19.0,47.0,1,7,7
Firozabad,16.71,18.5,85.0,2,7,14
Rairangpur,16.57,12.0,77.0,1,7,7
Chandigarh,16.57,15.0,71.0,3,7,21
Bharatpur,16.29,17.0,56.0,1,7,7
Vapi,16.14,17.0,66.0,1,7,7
Sivasagar,16.14,16.0,35.0,1,7,7
Raipur,16.07,11.5,147.0,4,7,28
Dhule,16.0,11.0,65.0,1,7,7
Badlapur,16.0,15.0,43.0,1,7,7
Yadgir,15.71,16.0,49.0,1,7,7
Naharlagun,15.57,9.0,73.0,1,7,7
Ulhasnagar,15.14,10.0,75.0,2,7,14
Parbhani,15.0,19.0,46.0,1,7,7
