country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,month,year,month_number
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-08-23 11:00:00,24.792403,84.992416,PM2.5,12.0,26.0,20.0,2026-08,2026,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-08-23 11:00:00,25.697189,85.2459,CO,19.0,33.0,27.0,2026-08,2026,8
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-08-23 11:00:00,25.560083,87.553265,OZONE,19.0,38.0,28.0,2026-08,2026,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-23 11:00:00,26.0881305,87.93840336,PM10,31.0,60.0,44.0,2026-08,2026,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-23 11:00:00,26.0881305,87.93840336,NO2,7.0,8.0,7.0,2026-08,2026,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-23 11:00:00,26.0881305,87.93840336,SO2,6.0,8.0,7.0,2026-08,2026,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-23 11:00:00,26.0881305,87.93840336,OZONE,32.0,33.0,33.0,2026-08,2026,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-08-23 11:00:00,27.308328,84.531742,PM2.5,12.0,26.0,20.0,2026-08,2026,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-08-23 11:00:00,27.308328,84.531742,NO2,12.0,36.0,15.0,2026-08,2026,8
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-08-23 11:00:00,26.11442,85.39813,PM10,43.0,86.0,68.0,2026-08,2026,8
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-08-23 11:00:00,26.11442,85.39813,CO,15.0,22.0,18.0,2026-08,2026,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-08-23 11:00:00,26.1403345,85.3650192,PM2.5,20.0,48.0,32.0,2026-08,2026,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-08-23 11:00:00,26.1403345,85.3650192,PM10,29.0,56.0,37.0,2026-08,2026,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-08-23 11:00:00,26.1403345,85.3650192,NO2,4.0,12.0,7.0,2026-08,2026,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-08-23 11:00:00,25.599486,85.113666,PM2.5,12.0,26.0,20.0,2026-08,2026,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-08-23 11:00:00,25.592539,85.227158,NO2,5.0,7.0,6.0,2026-08,2026,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-08-23 11:00:00,25.592539,85.227158,SO2,12.0,13.0,13.0,2026-08,2026,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-08-23 11:00:00,25.592539,85.227158,CO,34.0,41.0,38.0,2026-08,2026,8
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-08-23 11:00:00,25.586562,85.043586,PM2.5,25.0,83.0,52.0,2026-08,2026,8
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2026-08-23 11:00:00,25.619651,85.147382,PM2.5,48.0,53.0,50.0,2026-08,2026,8
