country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,month,year,month_number
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-08-23 11:00:00,25.7808257,84.7446768,PM2.5,91.0,99.0,94.0,2026-08,2026,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-08-23 11:00:00,24.952822,84.002396,PM2.5,13.0,399.0,102.0,2026-08,2026,8
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2026-08-23 11:00:00,26.2028636,91.70046436,CO,76.0,88.0,83.0,2026-08,2026,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-08-23 11:00:00,26.446912,91.439057,PM2.5,50.0,128.0,90.0,2026-08,2026,8
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2026-08-23 11:00:00,28.5504249,77.2159377,PM10,37.0,198.0,109.0,2026-08,2026,8
India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-08-23 11:00:00,28.822836,77.101981,PM10,39.0,174.0,100.0,2026-08,2026,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-08-23 11:00:00,28.710508,77.249485,PM10,23.0,166.0,96.0,2026-08,2026,8
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-08-23 11:00:00,28.732528,77.11992,PM2.5,37.0,190.0,87.0,2026-08,2026,8
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-08-23 11:00:00,28.732528,77.11992,PM10,60.0,180.0,119.0,2026-08,2026,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-08-23 11:00:00,28.73282,77.170633,CO,77.0,93.0,84.0,2026-08,2026,8
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",2026-08-23 11:00:00,28.5918245,77.2273074,PM10,28.0,219.0,99.0,2026-08,2026,8
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2026-08-23 11:00:00,23.243639,72.68994,PM10,104.0,163.0,127.0,2026-08,2026,8
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-23 11:00:00,28.647622,77.315809,PM2.5,73.0,214.0,124.0,2026-08,2026,8
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2026-08-23 11:00:00,28.639652,77.146275,PM10,34.0,137.0,109.0,2026-08,2026,8
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2026-08-23 11:00:00,28.493624,77.201159,PM10,44.0,114.0,80.0,2026-08,2026,8
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2026-08-23 11:00:00,28.3419248,77.319699,PM2.5,17.0,244.0,77.0,2026-08,2026,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",2026-08-23 11:00:00,28.806223,76.141105,PM10,122.0,151.0,130.0,2026-08,2026,8
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2026-08-23 11:00:00,28.593883,76.270653,PM2.5,2.0,209.0,86.0,2026-08,2026,8
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",2026-08-23 11:00:00,28.4275,77.1465,PM2.5,13.0,498.0,136.0,2026-08,2026,8
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2026-08-23 11:00:00,23.80569,86.44268,NO2,97.0,125.0,102.0,2026-08,2026,8
India,Haryana,Jind,"Police Lines, Jind - HSPCB",2026-08-23 11:00:00,29.307814,76.337619,PM2.5,86.0,108.0,96.0,2026-08,2026,8
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",2026-08-23 11:00:00,29.8006,76.4155,PM10,19.0,132.0,83.0,2026-08,2026,8
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-08-23 11:00:00,28.360699,76.93609,PM10,68.0,163.0,101.0,2026-08,2026,8
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",2026-08-23 11:00:00,28.1485564,77.3320667,PM10,69.0,124.0,102.0,2026-08,2026,8
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB",2026-08-23 11:00:00,22.1166054,85.3945546,PM2.5,55.0,247.0,101.0,2026-08,2026,8
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",2026-08-23 11:00:00,26.470859,74.646594,PM10,74.0,101.0,89.0,2026-08,2026,8
India,Rajasthan,Alwar,"Vigyan Nagar, Alwar - RSPCB",2026-08-23 11:00:00,27.598796,76.63861,PM10,66.0,137.0,94.0,2026-08,2026,8
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2026-08-23 11:00:00,13.0052189,80.2398125,PM10,87.0,104.0,98.0,2026-08,2026,8
India,Tamil Nadu,Chennai,"Perungudi, Chennai - TNPCB",2026-08-23 11:00:00,12.9533,80.2357,PM10,41.0,359.0,115.0,2026-08,2026,8
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",2026-08-23 11:00:00,28.194909,76.862296,PM2.5,46.0,219.0,93.0,2026-08,2026,8
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",2026-08-23 11:00:00,24.892047,74.623527,PM2.5,47.0,150.0,80.0,2026-08,2026,8
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",2026-08-23 11:00:00,28.296139,74.961696,PM10,60.0,112.0,85.0,2026-08,2026,8
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",2026-08-23 11:00:00,26.960669,75.771817,PM10,62.0,105.0,81.0,2026-08,2026,8
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",2026-08-23 11:00:00,26.9164092,75.7994901,PM2.5,64.0,101.0,78.0,2026-08,2026,8
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",2026-08-23 11:00:00,31.321907,75.578914,PM2.5,69.0,169.0,86.0,2026-08,2026,8
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",2026-08-23 11:00:00,27.608912,75.153302,PM10,98.0,161.0,131.0,2026-08,2026,8
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",2026-08-23 11:00:00,26.159933,75.780517,PM10,95.0,169.0,129.0,2026-08,2026,8
India,Tamil Nadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2026-08-23 11:00:00,13.4127,80.1081,PM10,46.0,323.0,101.0,2026-08,2026,8
India,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",2026-08-23 11:00:00,28.56923,77.393848,PM2.5,59.0,183.0,107.0,2026-08,2026,8
India,Uttar Pradesh,Khora,"Prashant Garden, Khora - UPPCB",2026-08-23 11:00:00,28.61119,77.34206,PM10,68.0,111.0,83.0,2026-08,2026,8
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-08-23 11:00:00,22.5448082,88.3403691,PM10,80.0,107.0,91.0,2026-08,2026,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-08-23 11:00:00,26.071318,91.87488,PM10,75.0,137.0,94.0,2026-08,2026,8
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-08-23 11:00:00,28.530785,77.271255,PM10,30.0,183.0,111.0,2026-08,2026,8
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2026-08-23 11:00:00,23.107969,72.574648,PM10,62.0,111.0,88.0,2026-08,2026,8
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2026-08-23 11:00:00,23.023389,72.515201,PM10,56.0,113.0,85.0,2026-08,2026,8
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-08-23 11:00:00,22.969611,72.6435,PM2.5,43.0,184.0,96.0,2026-08,2026,8
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-08-23 11:00:00,22.969611,72.6435,PM10,83.0,152.0,110.0,2026-08,2026,8
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-08-23 11:00:00,30.379589,76.778328,PM10,40.0,418.0,134.0,2026-08,2026,8
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-08-23 11:00:00,28.563262,77.186937,PM10,54.0,159.0,108.0,2026-08,2026,8
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2026-08-23 11:00:00,23.002657,72.591912,PM10,70.0,114.0,87.0,2026-08,2026,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-08-23 11:00:00,28.498571,77.26484,PM10,35.0,123.0,89.0,2026-08,2026,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-23 11:00:00,28.695381,77.181665,PM2.5,12.0,190.0,81.0,2026-08,2026,8
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-23 11:00:00,28.647622,77.315809,PM10,58.0,485.0,210.0,2026-08,2026,8
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-08-23 11:00:00,28.636429,77.201067,PM10,35.0,141.0,97.0,2026-08,2026,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-08-23 11:00:00,28.60909,77.0325413,CO,85.0,92.0,88.0,2026-08,2026,8
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-08-23 11:00:00,28.570173,76.933762,PM10,42.0,135.0,84.0,2026-08,2026,8
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-08-23 11:00:00,28.699793,77.165453,PM2.5,47.0,203.0,97.0,2026-08,2026,8
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-08-23 11:00:00,30.943887,76.801991,CO,100.0,102.0,101.0,2026-08,2026,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",2026-08-23 11:00:00,28.376058,77.315741,PM2.5,29.0,397.0,234.0,2026-08,2026,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",2026-08-23 11:00:00,28.376058,77.315741,PM10,34.0,288.0,159.0,2026-08,2026,8
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-08-23 11:00:00,28.4417,77.3217,PM10,68.0,143.0,84.0,2026-08,2026,8
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",2026-08-23 11:00:00,28.422681,77.148944,PM10,31.0,142.0,90.0,2026-08,2026,8
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-08-23 11:00:00,28.360699,76.93609,PM2.5,73.0,305.0,134.0,2026-08,2026,8
India,Ladakh,Leh,"Skara Yokma, Leh - LPCC",2026-08-23 11:00:00,34.147096,77.55709,OZONE,76.0,301.0,172.0,2026-08,2026,8
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",2026-08-23 11:00:00,15.411456,75.638133,PM10,69.0,120.0,98.0,2026-08,2026,8
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",2026-08-23 11:00:00,29.432304,76.972765,PM2.5,26.0,235.0,127.0,2026-08,2026,8
